article_url,article_date,text_en,comment_date,comment-time,comment-author,comment_type,time_slot,site,lang,Time_period,title,title_en
https://www.lemonde.fr/les-decodeurs/article/2022/03/02/guerre-en-ukraine-suivez-en-carte-l-evolution-de-l-invasion-russe-au-jour-le-jour_6115863_4355770.html,2022-03-02,"When we look at the map, we might think that the new capital will be in the west. It seems that it is not about occupying all of Ukraine... but how to know....",2022-03-02,17:41,user_a2c7dda4b4a0,comment,tp1,Lemonde,FR,Beginning of Russian invasion,Guerre en Ukraine : suivez sur une carte l’évolution de l’invasion russe au jour le jour,War in Ukraine: Follow on a map the evolution of the Russian invasion day by day
https://www.lemonde.fr/international/article/2022/02/15/poutine-a-reussi-a-se-placer-au-centre-de-la-politique-etrangere-americaine-et-de-la-conversation-internationale_6113757_3210.html,2022-02-15,@Kazadi. I am much calmer than you. Read the article again with a cup of chamomile and a bit of logic. She clearly (and courageously) expresses herself against Cheney and the famous neo-con policy of imposing democracy (and NATO) everywhere but absolves Biden who just refused to roll back NATO expansion. Do you want me to repeat myself or did you get it?,2022-02-15,20:15,user_db611d5a894f,reply,tp1,Lemonde,FR,Beginning of Russian invasion,« Poutine a réussi à se placer au centre de la politique étrangère américaine et de la conversation internationale »,"""Poutine has managed to position himself at the center of American foreign policy and international conversation."""
https://www.lemonde.fr/international/article/2022/03/15/malgre-la-guerre-en-ukraine-l-inde-negocie-avec-moscou-l-achat-de-petrole_6117589_3210.html,2022-03-15,"I see that the war hawks are out. I have already said here that regardless of the Russian fault of invading a sovereign country, what we retain outside the Western sphere is that any enterprise, dependency, assistance, technology, etc., can be used (rightly or wrongly) as a weapon to belittle, dominate, destroy. That everything we say internationally is not (within minutes, international federations announced they had sanctioned the Russians...) The imperative question of the strategic autonomy of so-called developing countries then arises. Whatever the cost. Sooner or later, there will be divergence and sanctions from US allies (which is their right). You will see that despite appearances, India, China, etc., will have to be autonomous and have other alliances or they will be dominated in the future. Of course, these countries do not support this Russian aggression but want to think for themselves. I am not talking about African countries where the rejection of the West is progressing.",2022-03-15,19:37,user_0070796e7273,comment,tp1,Lemonde,FR,Beginning of Russian invasion,"Malgré la guerre en Ukraine, l’Inde négocie avec Moscou l’achat de pétrole","Despite the war in Ukraine, India is negotiating with Moscow to purchase oil."
https://www.lemonde.fr/politique/article/2022/02/24/guerre-en-ukraine-eric-zemmour-et-marine-le-pen-fragilises-par-les-frappes-russes_6115105_823448.html,2022-02-24,"Now we know that Putin does not want to keep Ukraine out of NATO, he wants to destroy it (""demilitarize"", ""denazify""). Le Pen and Zemmour are lying when they continue to claim that all of this comes from NATO. And with them, all the useful words that continue to develop this nonsense.",2022-02-24,17:28,user_3abad6bae7e2,comment,tp1,Lemonde,FR,Beginning of Russian invasion,Eric Zemmour et Marine Le Pen fragilisés par l’attaque de Vladimir Poutine en Ukraine,Eric Zemmour and Marine Le Pen weakened by Vladimir Putin's attack in Ukraine
https://www.lemonde.fr/international/article/2022/03/05/la-menace-nucleaire-pese-sur-la-guerre-en-ukraine_6116268_3210.html,2022-03-05,"Sick yes, however, you are jumping to conclusions a bit quickly afterwards. Proof? Source? A ""simply"" is generally not enough.",2022-03-05,15:21,user_bc04845b7f2d,reply,tp1,Lemonde,FR,Beginning of Russian invasion,La menace nucléaire plane sur la guerre en Ukraine,The nuclear threat looms over the war in Ukraine.
https://www.lemonde.fr/idees/article/2022/02/26/assumer-le-cout-des-sanctions-contre-la-russie_6115355_3232.html,2022-02-26,"Once again, all these arguments are strange. How did the West manage during the Cold War? Indeed, for it to hurt the Russians, it must also hurt the West, it seems obvious. As our friends in the USA say, ""no pain, no gain."" Why have we come to this? Precisely because we have dithered with half-measures. Were there not already serious signs of the hieratic violence of the Putin regime? Between invasions and assassinations or poisonings even in our communities. We then took small measures, especially we should not disturb business and we have come to this. If he is not stopped now, he will continue. The best way to bring down a dictatorial regime is to make it lose a war (cf. Argentina and others).",2022-02-26,19:33,user_b99b8a3da1f0,comment,tp1,Lemonde,FR,Beginning of Russian invasion,Guerre en Ukraine : assumer le coût des sanctions contre la Russie,War in Ukraine: bearing the cost of sanctions against Russia
https://www.lemonde.fr/international/article/2022/03/08/ukraine-les-couloirs-humanitaires-une-arme-de-guerre-pour-vladimir-poutine_6116537_3210.html,2022-03-08,"These humanitarian corridors all go... in the same direction... Russia or brother countries... to make these displaced people in wartime... already... real prisoners, and thus allow Putin... who is getting rid of the fighters in place... to annihilate everything by aviation or heavy artillery... without too many losses on his side... lamentable analysis 😡😡😡🇫🇷",2022-03-09,11:45,,comment,tp1,Lemonde,FR,Beginning of Russian invasion,"Guerre en Ukraine : les « couloirs humanitaires », une arme de guerre pour Vladimir Poutine","War in Ukraine: ""humanitarian corridors,"" a weapon of war for Vladimir Putin"
https://www.lemonde.fr/election-presidentielle-2022/article/2022/03/10/presidentielle-2022-face-a-eric-zemmour-valerie-pecresse-joue-la-carte-de-la-pugnacite-et-de-l-agressivite_6116997_6059010.html,2022-03-10,"One can say, write, repeat the same things for 20 years, or even a lifetime, but that does not mean that these things represent beautiful things.",2022-03-11,08:56,user_52bb3cf2763a,reply,tp1,Lemonde,FR,Beginning of Russian invasion,"Face à Eric Zemmour, Valérie Pécresse joue la carte de la pugnacité et de l’agressivité","Faced with Eric Zemmour, Valérie Pécresse is playing the card of tenacity and aggressiveness."
https://www.lemonde.fr/energies/article/2022/03/05/guerre-en-ukraine-au-sein-de-l-europe-la-politique-des-nouveaux-gazoducs-a-cree-beaucoup-de-tensions_6116290_1653054.html,2022-03-05,"It would have been interesting for the past 20 years to systematically couple climate and energy discussions. First, because they are inseparable. Secondly, because many citizens have no concrete idea of the structuring role of energy in the modern economy, nor of the place of fossil fuels in modern politics (including war). Certainly, this makes these citizens manipulable with the idea that a few wind turbines and solar panels will suffice for the transition (with ""small painless gestures""), but we understand the annoyance of those who look at the data (Jancovici for example), who have been alerting for quite some time about the disconnection of various leading discourses. It seems tragically impossible to live sustainably in peace, prosperity, and freedom in Europe if we remain too detached in a culture of ideals and norms, divorced from a requirement for confrontation with facts and a priority for concrete achievements.",2022-03-06,01:37,user_4ec955bab2e5,comment,tp1,Lemonde,FR,Beginning of Russian invasion,"Guerre en Ukraine : « Au sein de l’Europe, la politique des nouveaux gazoducs a créé beaucoup de tensions »","War in Ukraine: ""Within Europe, the policy of new gas pipelines has created a lot of tensions."""
https://www.lemonde.fr/election-presidentielle-2022/article/2022/03/12/guerre-en-ukraine-pour-nathalie-arthaud-la-confrontation-entre-moscou-et-le-camp-imperialiste-est-une-guerre-entre-brigands_6117238_6059010.html,2022-03-12,"A sect that obtains its 500 endorsements without difficulty in every election, a shame.",2022-03-12,14:55,user_6777875d776a,reply,tp1,Lemonde,FR,Beginning of Russian invasion,"Guerre en Ukraine : pour Nathalie Arthaud, la confrontation entre Moscou et le « camp impérialiste » est une « guerre entre brigands »","War in Ukraine: According to Nathalie Arthaud, the confrontation between Moscow and the ""imperialist camp"" is a ""war between bandits."""
